Accident_severity,Number_of_casualties,Time,Day_of_week,Area_accident_occured,Types_of_Junction,Road_allignment,Lanes_or_Medians,Weather_conditions,Light_conditions,Road_surface_conditions,Type_of_collision,Vehicle_movement,Cause_of_accident,Age_band_of_driver,Driving_experience,Sex_of_driver,Type_of_vehicle,Hour,Time_period,severity_score,is_weekend
slight injury,1,1900-01-01 15:25:00,monday,church areas,crossing,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,going straight,overturning,31-50,above 10yr,male,other,15,afternoon,1,False
serious injury,4,1900-01-01 23:36:00,thursday,other,no junction,tangent road with flat terrain,undivided two way,normal,darkness - no lighting,dry,vehicle with vehicle collision,going straight,driving at high speed,under 18,5-10yr,male,other,23,evening,2,False
serious injury,4,1900-01-01 23:36:00,thursday,other,no junction,tangent road with flat terrain,one way,normal,darkness - no lighting,dry,vehicle with vehicle collision,going straight,no priority to vehicle,under 18,above 10yr,male,public (12 seats),23,evening,2,False
serious injury,4,1900-01-01 23:36:00,thursday,residential areas,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - no lighting,dry,vehicle with vehicle collision,going straight,no priority to pedestrian,under 18,below 1yr,male,lorry (41?100q),23,evening,2,False
serious injury,4,1900-01-01 23:36:00,thursday,office areas,no junction,tangent road with flat terrain,one way,normal,darkness - no lighting,dry,vehicle with vehicle collision,going straight,no priority to vehicle,under 18,5-10yr,male,other,23,evening,2,False
slight injury,1,1900-01-01 20:00:00,monday,industrial areas,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights unlit,dry,vehicle with vehicle collision,turnover,other,over 51,1-2yr,male,public (12 seats),20,evening,1,False
slight injury,1,1900-01-01 20:00:00,monday,residential areas,y shape,tangent road with flat terrain,double carriageway (median),normal,darkness - lights unlit,dry,vehicle with vehicle collision,going straight,other,31-50,5-10yr,male,other,20,evening,1,False
slight injury,1,1900-01-01 20:00:00,monday,office areas,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights unlit,dry,vehicle with vehicle collision,going straight,moving backward,31-50,5-10yr,male,lorry (11?40q),20,evening,1,False
slight injury,1,1900-01-01 17:54:00,friday,other,crossing,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,rollover,going straight,no distancing,18-30,2-5yr,male,other,17,afternoon,1,False
slight injury,1,1900-01-01 17:54:00,friday,church areas,crossing,tangent road with flat terrain,other,normal,daylight,dry,vehicle with vehicle collision,moving backward,moving backward,31-50,5-10yr,male,other,17,afternoon,1,False
slight injury,1,1900-01-01 18:04:00,monday,industrial areas,crossing,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,no priority to vehicle,31-50,5-10yr,male,other,18,evening,1,False
slight injury,1,1900-01-01 17:00:00,friday,recreational areas,no junction,tangent road with flat terrain,one way,normal,daylight,dry,vehicle with vehicle collision,moving backward,driving carelessly,18-30,above 10yr,male,pick up upto 10q,17,afternoon,1,False
slight injury,3,1900-01-01 01:15:00,saturday,market areas,crossing,tangent road with flat terrain,undivided two way,normal,darkness - lights lit,dry,collision with roadside objects,turnover,no distancing,18-30,above 10yr,female,automobile,1,night,1,True
